concessionaria;cod_agente_arrecadador;nome_agente_arrecadador;nome_grupo_loja;uf_cef;cidade_cef;uf_ag_nao_financeiro;mes_transacao;status;bu_description;estado;profit_center;cod_area;dat_tra;data_venda;midia;valor_face;qtde_recargas;valor_total;val_tarifa;val_tarifa_total;plano_tarifario;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TMG;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;;MG;J06MG034G;34;01/10/2024 00:00:00;01/10/2024;Web;30;44;1320;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSP_C;110000931;RECARGA.COM;;;;;202410;Efetuada;UN SP;SP;J30SP013;13;01/10/2024 00:00:00;01/10/2024;Web;30;3;90;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TRS;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN Sul;RS;J30RS051;51;01/10/2024 00:00:00;01/10/2024;PDV;25;251;6275;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TCO;0010400000;CAIXA - CEF;;;;;202410;Efetuada;UN Brasília;GO;J30GO062;62;01/10/2024 00:00:00;01/10/2024;Loterica;50;7;350;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TCO;110002241;M4U APP - RECO CREDITO MASTER;;;;;202410;Efetuada;UN Brasília;DF;J30DF061;61;01/10/2024 00:00:00;01/10/2024;Mobile APP;60;67;4020;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNE;0000100000;BANCO DO BRASIL;;;;;202410;Efetuada;;CE;J25CE088G;88;01/10/2024 00:00:00;01/10/2024;Web;20;1;20;;;PLANO TIM CONTROLE L EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TNO;110002260;M4U CPT - ADESAO PIX;;;;;202410;Efetuada;UN Norte;PA;J30PA091;91;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;20;2;40;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TSP_I;110002238;M4U APP - RECORRENTE PIX;;;;;202410;Efetuada;UN SP;SP;J30SP017;17;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;30;1;30;;;PLANO TIM CONTROLE J EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TSU;110002237;M4U APP - ADES CREDITO MASTER;;;;;202410;Efetuada;;PR;J33PR041G;41;01/10/2024 00:00:00;01/10/2024;Mobile APP;50;1;50;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
TSP_I;110001791;BM DDD 41;;;;;202410;Efetuada;UN SP;SP;J30SP016;16;01/10/2024 00:00:00;01/10/2024;PDV;15;1;15;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TSP_I;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;UN SP;SP;J30SP014;14;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM BLACK A EXPRESS 6 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
TCO;110002091;RV C6 3;;;;;202410;Efetuada;UN Brasília;DF;J30DF061;61;01/10/2024 00:00:00;01/10/2024;PDV;15;1;15;;;PLANO TIM CONTROLE B EXPRESS 6 1;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TSU;110002259;M4U CPT - RECORRENTE PIX;;;;;202410;Efetuada;UN Sul;RS;J30RS053;53;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;20;1;20;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TSP_C;110000623;BEMOBI - MASTERCARD;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;1;20;;;PLANO TIM FIXO PRE;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TNO;110001571;MULTIDISPLAY DDD 61;;;;;202410;Efetuada;UN Norte;MA;J30MA098;98;01/10/2024 00:00:00;01/10/2024;Web;15;1;15;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TMG;110001632;LOG EXPRESS DDD11 -;;;;;202410;Efetuada;;MG;J06MG034G;34;01/10/2024 00:00:00;01/10/2024;PDV;50;1;50;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TCO;110002051;RV - DIGITAIS 2;;;;;202410;Efetuada;UN Brasília;GO;J30GO064;64;01/10/2024 00:00:00;01/10/2024;PDV;20;2;40;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TNE;110000421;LIBERTYEXP-CIELO-VISA;;;;;202410;Efetuada;;CE;J25CE088G;88;01/10/2024 00:00:00;01/10/2024;Desconhecido;86,99;1;86,99;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSP_I;110001331;MERCADO PAGO;;;;;202410;Efetuada;UN SP;SP;J30SP019;19;01/10/2024 00:00:00;01/10/2024;Web;30;2;60;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TSU;110000413;M4U - ADESAO PIX;;;;;202410;Efetuada;UN Sul;RS;J30RS053;53;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;10;1;10;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TCO;110002245;M4U APP - ADESAO CREDITO ELO;;;;;202410;Efetuada;UN Brasília;GO;J30GO064;64;01/10/2024 00:00:00;01/10/2024;Mobile APP;30;1;30;;;PLANO TIM CONTROLE REDES SOCIAIS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TNE;110002211;TELECOMNET  INTER 2;;;;;202410;Efetuada;;CE;J25CE085G;85;01/10/2024 00:00:00;01/10/2024;PDV;40;1;40;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
TCO;0100103024;RV;;;;;202410;Efetuada;UN Brasília;DF;J30DF061;61;01/10/2024 00:00:00;01/10/2024;PDV;60;1;60;;;PLANO TIM BETA;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
TMG;110002091;RV C6 3;;;;;202410;Efetuada;;MG;J06MG032G;32;01/10/2024 00:00:00;01/10/2024;PDV;15;1;15;;;PLANO TIM CONTROLE SMART 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TSP_C;110002031;DBR DIGITAIS;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;PDV;40;1;40;;;PLANO TIM CONTROLE L EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
TSU;110002051;RV - DIGITAIS 2;;;;;202410;Efetuada;;PR;J33PR044G;44;01/10/2024 00:00:00;01/10/2024;PDV;40;2;80;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TNO;0003300000;SANTANDER;;;;;202410;Efetuada;UN Norte;PA;J30PA093;93;01/10/2024 00:00:00;01/10/2024;Web;30;1;30;;;PLANO TIM PRE BOLETO B;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
TNE;0100103024;RV;;;;;202410;Efetuada;;CE;J25CE088G;88;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TBA;0023700000;BRADESCO;;;;;202410;Efetuada;;BA;J06BA075G;75;01/10/2024 00:00:00;01/10/2024;Corban;20;61;1220;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TNE;110002111;TELECOMNET - NUBANK 2;;;;;202410;Efetuada;;PE;J25PE081G;81;01/10/2024 00:00:00;01/10/2024;PDV;40;103;4120;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
TNE;110000931;RECARGA.COM;;;;;202410;Efetuada;;PB;J25PB083G;83;01/10/2024 00:00:00;01/10/2024;Web;20;5;100;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSU;110000911;REDECARD-CREDITO;;;;;202410;Efetuada;;PR;J33PR041G;41;01/10/2024 00:00:00;01/10/2024;PDV;15;10;150;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TMG;110002259;M4U CPT - RECORRENTE PIX;;;;;202410;Efetuada;;MG;J06MG032G;32;01/10/2024 00:00:00;01/10/2024;Mobile APP - Pix;12;4;48;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
TSP_I;110002091;RV C6 3;;;;;202410;Efetuada;UN SP;SP;J30SP018;18;01/10/2024 00:00:00;01/10/2024;PDV;15;12;180;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TRS;110000402;M4U - PROGRAMADA CREDITO VISA;;;;;202410;Efetuada;UN Sul;RS;J30RS051;51;01/10/2024 00:00:00;01/10/2024;Desconhecido;30;9;270;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
TCO;0100103024;RV;;;;;202410;Efetuada;UN Brasília;TO;J30TO063;63;01/10/2024 00:00:00;01/10/2024;PDV;50;2;100;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
TSP_C;110002264;M4U CPT - DEBITO MASTER;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;Mobile APP;20;1;20;;;PLANO TIM CONTROLE J EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TCO;110001941;TELECOMNET - DIGITAIS;;;;;202410;Efetuada;UN Brasília;MS;J30MS067;67;01/10/2024 00:00:00;01/10/2024;PDV;30;1;30;;;PLANO TIM CONTROLE A PLUS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
TSU;110001794;BM DDD 43;;;;;202410;Efetuada;;PR;J33PR043G;43;01/10/2024 00:00:00;01/10/2024;PDV;20;1;20;;;PLANO TIM CONTROLE D EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
TSU;0010400000;CAIXA - CEF;;;;;202410;Efetuada;;SC;J33SC049G;49;01/10/2024 00:00:00;01/10/2024;Loterica;60;2;120;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
TSP_C;110000480;LIBERTYCTL-CIELO-MASTER;;;;;202410;Efetuada;UN SP;SP;J30SP011;11;01/10/2024 00:00:00;01/10/2024;Desconhecido;66,99;560;37514,4;;;PLANO TIM CONTROLE D EXPRESS 6 0;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
TNO;110000105;REDEFLEX AM;;;;;202410;Efetuada;UN Norte;AM;J30AM092;92;01/10/2024 00:00:00;01/10/2024;PDV;25;5;125;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TCO;110002091;RV C6 3;;;;;202410;Efetuada;UN Brasília;GO;J30GO064;64;01/10/2024 00:00:00;01/10/2024;PDV;15;15;225;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
TSP_I;110000403;M4U - PROGRAMADA CREDITO MASTE;;;;;202410;Efetuada;UN SP;SP;J30SP015;15;01/10/2024 00:00:00;01/10/2024;Desconhecido;30;3;90;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
TSP_I;110002264;M4U CPT - DEBITO MASTER;;;;;202410;Efetuada;UN SP;SP;J30SP019;19;01/10/2024 00:00:00;01/10/2024;Mobile APP;15;18;270;;;PLANO TIM PRE TOP;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
